virus,host,Correlation,HostCount,VirusCount,CoOccurrence
Petunia vein clearing virus,solanum lycopersicum,-0.10049735867734844,141,51,0
Caudoviricetes sp.,capsicum,-0.07171800607368219,61,65,0
Sweet potato collusive virus,solanum lycopersicum,-0.0707686139564106,141,26,0
Dioscorea bacilliform virus,solanum lycopersicum,-0.07076861395641054,141,26,0
Cauliflower mosaic virus,solanum lycopersicum,-0.06495583164957838,141,22,0
Strawberry vein banding virus,solanum lycopersicum,-0.0649558316495783,141,22,0
Dahlia common mosaic virus,solanum lycopersicum,-0.0649558316495782,141,22,0
Cotton leaf curl Gezira virus,solanum lycopersicum,-0.06342789470009981,141,21,0
Bell pepper alphaendornavirus,solanum lycopersicum,-0.06342789470009978,141,21,0
Sweet potato badnavirus B,solanum lycopersicum,-0.061865673547759265,141,20,0
Citrus viroid VI,solanum lycopersicum,-0.06026649061908389,141,19,0
Microvirus sp.,solanum lycopersicum,-0.05862730959304867,141,18,0
Cotton leaf curl Gezira betasatellite,solanum lycopersicum,-0.05862730959304865,141,18,0
Caudoviricetes sp.,lavatera,-0.05664135836298762,39,65,0
Caudoviricetes sp.,capsicum annuum,-0.05274003822528725,34,65,0
Red clover bacilliform virus,solanum lycopersicum,-0.052603511465144276,141,26,1
Cassava vein mosaic virus,solanum lycopersicum,-0.051592754314289474,141,14,0
Dahlia mosaic virus,solanum lycopersicum,-0.05159275431428939,141,14,0
Caulimovirus sp.,solanum lycopersicum,-0.05159275431428937,141,14,0
Petunia vein clearing virus,lavatera,-0.04977589979401628,39,51,0
Rice tungro bacilliform virus,solanum lycopersicum,-0.049689228174240416,141,13,0
Insect narna-like virus 1,solanum lycopersicum,-0.049689228174240374,141,13,0
Blueberry red ringspot virus,solanum lycopersicum,-0.04968922817424037,141,13,0
Citrus yellow mosaic virus,solanum lycopersicum,-0.04968922817424033,141,13,0
Iltovirus gallidalpha1,lavatera,-0.048735412640591454,39,49,0
Caudoviricetes sp.,solanum tuberosum,-0.048574261333087905,29,65,0
Prokaryotic dsDNA virus sp.,capsicum,-0.04777767592437763,61,30,0
Peanut chlorotic streak virus,solanum lycopersicum,-0.04771416508809336,141,12,0
Petuvirus venapetuniae,solanum lycopersicum,-0.04771416508809331,141,12,0
Sweet potato vein clearing virus,solanum lycopersicum,-0.04565826780939947,141,11,0
Tomato spotted wilt orthotospovirus,solanum lycopersicum,-0.045658267809399446,141,11,0
Human gammaherpesvirus 4,solanum lycopersicum,-0.045658267809399425,141,11,0
Sweet potato badnavirus C,solanum lycopersicum,-0.0456582678093994,141,11,0
Petunia vein clearing virus,ipomaea batatas,-0.04563563841278629,33,51,0
Dioscorea bacilliform virus,capsicum,-0.044381268229929716,61,26,0
Cavemovirus collusipomeae,solanum lycopersicum,-0.04351006402340914,141,10,0
Beihai horseshoe crab virus 1,solanum lycopersicum,-0.04351006402340909,141,10,0
Sweet potato leaf curl virus,solanum lycopersicum,-0.04351006402340909,141,10,0
Citrus blight-associated pararetrovirus,solanum lycopersicum,-0.04351006402340905,141,10,0
Alphaendornavirus sp.,solanum lycopersicum,-0.04351006402340904,141,10,0
Epiphyllum virus 4,solanum lycopersicum,-0.043510064023409026,141,10,0
Figwort mosaic virus,solanum lycopersicum,-0.043510064023409026,141,10,0
Piper DNA virus 1,solanum lycopersicum,-0.043510064023409,141,10,0
Sugarcane bacilliform virus,solanum lycopersicum,-0.04351006402340898,141,10,0
Petunia vein clearing virus,solanum tuberosum,-0.04268660983003676,29,51,0
Southern tomato virus,capsicum,-0.04259361827824813,61,24,0
Prokaryotic dsDNA virus sp.,solanum lycopersicum,-0.04228864081961917,141,30,2
Sweet potato badnavirus A,solanum lycopersicum,-0.041255120634180395,141,9,0
Pepper vein yellows virus,solanum lycopersicum,-0.04125512063418038,141,9,0
Aristotelia chilensis virus 1,solanum lycopersicum,-0.04125512063418037,141,9,0
Sopafab virus,solanum lycopersicum,-0.04125512063418037,141,9,0
Little cherry virus 2,solanum lycopersicum,-0.04125512063418036,141,9,0
Banana streak virus,solanum lycopersicum,-0.04125512063418031,141,9,0
Diabrotica undecimpunctata virus 1,solanum lycopersicum,-0.041255120634180235,141,9,0
Cauliflower mosaic virus,capsicum,-0.04073588595805683,61,22,0
Strawberry vein banding virus,capsicum,-0.04073588595805682,61,22,0
Microviridae sp.,capsicum,-0.04073588595805681,61,22,0
Cotton leaf curl Gezira virus,capsicum,-0.03977766767735138,61,21,0
Dicistroviridae sp.,capsicum,-0.03977766767735137,61,21,0
Mirabilis mosaic virus,solanum lycopersicum,-0.038874850730164986,141,8,0
Pepper vein yellows virus 2,solanum lycopersicum,-0.03887485073016498,141,8,0
Piper DNA virus 2,solanum lycopersicum,-0.03887485073016498,141,8,0
Eupatorium vein clearing virus,solanum lycopersicum,-0.038874850730164966,141,8,0
Caulimovirus venafragariae,solanum lycopersicum,-0.03887485073016496,141,8,0
Cotton leaf curl Gezira alphasatellite,solanum lycopersicum,-0.03887485073016496,141,8,0
Pepper yellows virus,solanum lycopersicum,-0.038874850730164945,141,8,0
Cowpea mild mottle virus,solanum lycopersicum,-0.0388748507301649,141,8,0
Sweet potato badnavirus B,capsicum,-0.038797948673115853,61,20,0
Alternanthera mosaic virus,capsicum,-0.03879794867311578,61,20,0
Leviviridae sp.,capsicum,-0.03879794867311576,61,20,0
Citrus viroid VI,capsicum,-0.03779504975312314,61,19,0
Cotton leaf curl Gezira betasatellite,capsicum,-0.03676706674304634,61,18,0
Microvirus sp.,capsicum,-0.03676706674304628,61,18,0
Maize associated partiti-like virus,solanum lycopersicum,-0.036344621025896875,141,7,0
Capsicum frutescens endornavirus 1,solanum lycopersicum,-0.03634462102589684,141,7,0
Duamitovirus peex1,solanum lycopersicum,-0.03634462102589684,141,7,0
Grapevine rupestris vein feathering virus,solanum lycopersicum,-0.036344621025896834,141,7,0
Soybean Putnam virus,solanum lycopersicum,-0.03634462102589683,141,7,0
Pepper vein yellows virus 5,solanum lycopersicum,-0.03634462102589681,141,7,0
Sweet potato pakakuy virus,solanum lycopersicum,-0.036344621025896806,141,7,0
Serratia virus Parlo,solanum lycopersicum,-0.03634462102589679,141,7,0
Phomopsis longicolla RNA virus 1,solanum lycopersicum,-0.036344621025896785,141,7,0
Erysiphe necator associated mycovirus 2,solanum lycopersicum,-0.03634462102589677,141,7,0
Petunia vein clearing virus,cucumis sativus,-0.03616644473092209,21,51,0
Tomato brown rugose fruit virus,ipomaea batatas,-0.035769024259751245,33,32,0
Podoviridae sp.,capsicum,-0.035711825968030214,61,17,0
Riboviria sp.,lavatera,-0.03505138327232163,39,26,0
Podoviridae sp.,solanum lycopersicum,-0.03458966682787755,141,17,1
Siphoviridae sp.,capsicum annuum,-0.03452529473750145,34,29,0
Petunia vein clearing virus,phalaenopsis,-0.03436381914309861,19,51,0
Siphoviridae sp.,ipomaea batatas,-0.03399504539669426,33,29,0
Iltovirus gallidalpha1,phalaenopsis,-0.03364549737475351,19,49,0
Southern tomato virus,lavatera,-0.03363953529879118,39,24,0
Badnavirus occultipomeae,solanum lycopersicum,-0.033630581957211955,141,6,0
Caulimovirus tessellodahliae,solanum lycopersicum,-0.033630581957211955,141,6,0
Euphorbia caput-medusae latent virus,solanum lycopersicum,-0.033630581957211955,141,6,0
Hibiscus soymovirus,solanum lycopersicum,-0.033630581957211934,141,6,0
Erysiphe necator associated ourmia-like virus 82,solanum lycopersicum,-0.03363058195721193,141,6,0
Potyvirus yituberosi,solanum lycopersicum,-0.03363058195721192,141,6,0
Citrus exocortis viroid,solanum lycopersicum,-0.033630581957211914,141,6,0
Emaravirus pyri,solanum lycopersicum,-0.033630581957211914,141,6,0
Erysiphe necator associated ourmia-like virus 92,solanum lycopersicum,-0.033630581957211914,141,6,0
Hop latent virus,solanum lycopersicum,-0.03363058195721191,141,6,0
Bougainvillea chlorotic vein banding virus,solanum lycopersicum,-0.0336305819572119,141,6,0
Potato spindle tuber viroid,solanum lycopersicum,-0.0336305819572119,141,6,0
chicory mosaic cavemovirus,solanum lycopersicum,-0.03363058195721189,141,6,0
Grapevine badnavirus 1,solanum lycopersicum,-0.033630581957211886,141,6,0
Phoenicopteridae parvo-like hybrid virus,solanum lycopersicum,-0.033630581957211886,141,6,0
Cacao red vein-banding virus,solanum lycopersicum,-0.03363058195721188,141,6,0
Hop stunt viroid,solanum lycopersicum,-0.03363058195721188,141,6,0
Pepper leafroll virus,solanum lycopersicum,-0.033630581957211865,141,6,0
Potato virus Y,solanum lycopersicum,-0.033630581957211865,141,6,0
Cacao swollen shoot Ghana L virus,solanum lycopersicum,-0.03363058195721186,141,6,0
Rose yellow vein virus,solanum lycopersicum,-0.03363058195721186,141,6,0
Blackberry virus F,solanum lycopersicum,-0.03363058195721185,141,6,0
Tomato mosaic virus,capsicum,-0.033509173613761996,61,15,0
Caudoviricetes sp.,tulipa,-0.0334756313079392,14,65,0
Tomato brown rugose fruit virus,solanum tuberosum,-0.03345758787827799,29,32,0
Bacopa chlorosis virus,lavatera,-0.03291331393117169,39,23,0
Dioscorea bacilliform virus,capsicum annuum,-0.03263712854103109,34,26,0
Prokaryotic dsDNA virus sp.,solanum tuberosum,-0.03235959061457974,29,30,0
Dahlia mosaic virus,capsicum,-0.03235547144322615,61,14,0
Microviridae sp.,lavatera,-0.03217233775871518,39,22,0
Cauliflower mosaic virus,lavatera,-0.03217233775871515,39,22,0
Sweet potato collusive virus,ipomaea batatas,-0.0321358781961376,33,26,0
Dioscorea bacilliform virus,ipomaea batatas,-0.03213587819613758,33,26,0
Riboviria sp.,ipomaea batatas,-0.03213587819613754,33,26,0
Red clover bacilliform virus,ipomaea batatas,-0.032135878196137536,33,26,0
Siphoviridae sp.,solanum tuberosum,-0.031798245614035166,29,29,0
Dicistroviridae sp.,lavatera,-0.03141555730707181,39,21,0
Bell pepper alphaendornavirus,lavatera,-0.0314155573070718,39,21,0
Cucumber mosaic virus,lavatera,-0.031415557307071705,39,21,0
Southern tomato virus,capsicum annuum,-0.03132252525035596,34,24,0
Pepino mosaic virus,capsicum,-0.03116170913135962,61,13,0
Citrus yellow mosaic virus,capsicum,-0.031161709131359596,61,13,0
Tomato mottle mosaic virus,capsicum,-0.03116170913135959,61,13,0
Blueberry red ringspot virus,capsicum,-0.03116170913135958,61,13,0
Rice tungro bacilliform virus,capsicum,-0.031161709131359558,61,13,0
Caudoviricetes sp.,prunus persica,-0.03095903329613034,12,65,0
Southern tomato virus,ipomaea batatas,-0.03084146495839623,33,24,0
Tobacco albetovirus 3,solanum lycopersicum,-0.030683976441400355,141,5,0
Iflaviridae sp.,solanum lycopersicum,-0.030683976441400352,141,5,0
Solendovirus venaipomeae,solanum lycopersicum,-0.030683976441400345,141,5,0
Poinsettia mosaic virus,solanum lycopersicum,-0.03068397644140034,141,5,0
Turnip mosaic virus,solanum lycopersicum,-0.030683976441400338,141,5,0
Capsicum annuum amalgavirus 1,solanum lycopersicum,-0.03068397644140033,141,5,0
Erysiphe necator associated mycovirus 1,solanum lycopersicum,-0.030683976441400324,141,5,0
Tobacco rattle virus,solanum lycopersicum,-0.03068397644140031,141,5,0
Okra leaf curl betasatellite,solanum lycopersicum,-0.030683976441400303,141,5,0
Sweet potato symptomless virus 1,solanum lycopersicum,-0.030683976441400303,141,5,0
Dioscorea nummularia associated virus,solanum lycopersicum,-0.0306839764414003,141,5,0
Magnaporthe oryzae narnavirus 1,solanum lycopersicum,-0.0306839764414003,141,5,0
Noxifervirus noxifer,solanum lycopersicum,-0.0306839764414003,141,5,0
Cacao Bacilliform SriLanka Virus,solanum lycopersicum,-0.030683976441400296,141,5,0
Apple rubodvirus 1,solanum lycopersicum,-0.030683976441400283,141,5,0
Rahariannevirus raharianne,solanum lycopersicum,-0.03068397644140028,141,5,0
Yam asymptomatic virus 1,solanum lycopersicum,-0.030683976441400272,141,5,0
Bacopa chlorosis virus,capsicum annuum,-0.03064632425879753,34,23,0
Alternanthera mosaic virus,lavatera,-0.030641796040522924,39,20,0
Sweet potato badnavirus B,lavatera,-0.030641796040522907,39,20,0
Leviviridae sp.,lavatera,-0.030641796040522883,39,20,0
Petunia vein clearing virus,hibiscus rosa sinensis,-0.03046703706489643,15,51,0
Bacopa chlorosis virus,ipomaea batatas,-0.030175649254863608,33,23,0
Riboviria sp.,solanum tuberosum,-0.03005921998277042,29,26,0
Sweet potato collusive virus,solanum tuberosum,-0.030059219982770294,29,26,0
Cauliflower mosaic virus,capsicum annuum,-0.02995638473776873,34,22,0
Microviridae sp.,capsicum annuum,-0.029956384737768724,34,22,0
Strawberry vein banding virus,capsicum annuum,-0.0299563847377687,34,22,0
Dahlia common mosaic virus,capsicum annuum,-0.02995638473776866,34,22,0
Totiviridae sp.,capsicum,-0.029923083705527247,61,12,0
Peanut chlorotic streak virus,capsicum,-0.02992308370552724,61,12,0
Potato virus S,capsicum,-0.029923083705527216,61,12,0
Citrus viroid VI,lavatera,-0.02984972776870286,39,19,0
Partitiviridae sp.,solanum lycopersicum,-0.029659404307517075,141,15,1
Caudoviricetes sp.,solanum betaceum,-0.029625077390436565,11,65,0
Cauliflower mosaic virus,ipomaea batatas,-0.029496306022121565,33,22,0
Strawberry vein banding virus,ipomaea batatas,-0.029496306022121516,33,22,0
Dahlia common mosaic virus,ipomaea batatas,-0.029496306022121485,33,22,0
Dicistroviridae sp.,capsicum annuum,-0.029251729498181323,34,21,0
Cotton leaf curl Gezira virus,capsicum annuum,-0.029251729498181313,34,21,0
Tobacco vein clearing virus,lavatera,-0.029037848615160816,39,18,0
Myoviridae sp.,lavatera,-0.029037848615160813,39,18,0
Botourmiaviridae sp.,lavatera,-0.029037848615160768,39,18,0
Microvirus sp.,lavatera,-0.029037848615160757,39,18,0
Southern tomato virus,solanum tuberosum,-0.028848453249575683,29,24,0
Iltovirus gallidalpha1,tulipa,-0.028803135241593943,14,49,0
Bell pepper alphaendornavirus,ipomaea batatas,-0.028802473079030947,33,21,0
Cotton leaf curl Gezira virus,ipomaea batatas,-0.028802473079030944,33,21,0
Cucumber mosaic virus,ipomaea batatas,-0.028802473079030944,33,21,0
Dicistroviridae sp.,ipomaea batatas,-0.028802473079030916,33,21,0
Mitovirus sp.,capsicum,-0.028633764564204245,61,11,0
Human gammaherpesvirus 4,capsicum,-0.02863376456420424,61,11,0
Sweet potato badnavirus C,capsicum,-0.028633764564204238,61,11,0
Capsicum chlorosis orthotospovirus,capsicum,-0.028633764564204234,61,11,0
Verbena latent virus,capsicum,-0.028633764564204234,61,11,0
Hopescreekvirus LfeInf,capsicum,-0.028633764564204228,61,11,0
Sweet potato vein clearing virus,capsicum,-0.02863376456420421,61,11,0
Leviviridae sp.,capsicum annuum,-0.02853126304125933,34,20,0
Sweet potato badnavirus B,capsicum annuum,-0.028531263041259306,34,20,0
Alternanthera mosaic virus,capsicum annuum,-0.028531263041259285,34,20,0
Caudoviricetes sp.,cucurbita pepo,-0.02823122899311977,10,65,0
Bacopa chlorosis virus,solanum tuberosum,-0.02822566333923575,29,23,0
Solendovirus venanicotianae,lavatera,-0.028204441857651166,39,17,0
Alternanthera mosaic virus,ipomaea batatas,-0.028093071751798905,33,20,0
Leviviridae sp.,ipomaea batatas,-0.028093071751798867,33,20,0
Citrus viroid VI,capsicum annuum,-0.02779375052143031,34,19,0
Microviridae sp.,solanum tuberosum,-0.02759022006452065,29,22,0
Strawberry vein banding virus,solanum tuberosum,-0.02759022006452056,29,22,0
Dahlia common mosaic virus,solanum tuberosum,-0.027590220064520547,29,22,0
Cauliflower mosaic virus,solanum tuberosum,-0.027590220064520537,29,22,0
Dracaena mottle virus,solanum lycopersicum,-0.027429934026224574,141,4,0
Macacine betaherpesvirus 3,solanum lycopersicum,-0.027429934026224574,141,4,0
Cestrum yellow leaf curling virus,solanum lycopersicum,-0.027429934026224567,141,4,0
Chronazork virus,solanum lycopersicum,-0.027429934026224567,141,4,0
DNA virus sp.,solanum lycopersicum,-0.027429934026224567,141,4,0
Angelica bushy stunt virus,solanum lycopersicum,-0.027429934026224564,141,4,0
Endogenous retrovirus sp.,solanum lycopersicum,-0.027429934026224564,141,4,0
Green Sichuan pepper vein clearing-associated virus,solanum lycopersicum,-0.027429934026224564,141,4,0
Honeysuckle yellow vein virus,solanum lycopersicum,-0.027429934026224564,141,4,0
Orf virus,solanum lycopersicum,-0.027429934026224564,141,4,0
Plasmopara viticola lesion associated mycobunyavirales-like virus 4,solanum lycopersicum,-0.027429934026224564,141,4,0
Yellow silver pine badnavirus 5,solanum lycopersicum,-0.027429934026224564,141,4,0
Lasius neglectus picorna-like virus 8,solanum lycopersicum,-0.02742993402622456,141,4,0
Pepper cryptic virus 2,solanum lycopersicum,-0.02742993402622456,141,4,0
Tomato chocolate spot virus,solanum lycopersicum,-0.02742993402622456,141,4,0
Allium deltapartitivirus,solanum lycopersicum,-0.027429934026224557,141,4,0
Cacao swollen shoot virus,solanum lycopersicum,-0.027429934026224557,141,4,0
Caulimovirus tessellobrassicae,solanum lycopersicum,-0.027429934026224557,141,4,0
Circoviridae sp.,solanum lycopersicum,-0.027429934026224557,141,4,0
Impatiens necrotic spot orthotospovirus,solanum lycopersicum,-0.027429934026224557,141,4,0
Birch leaf roll-associated virus,solanum lycopersicum,-0.027429934026224553,141,4,0
Burkholderia virus Bcep22,solanum lycopersicum,-0.027429934026224553,141,4,0
Fusarium mangiferae mitovirus 4,solanum lycopersicum,-0.027429934026224553,141,4,0
Grapevine rupestris stem pitting-associated virus,solanum lycopersicum,-0.027429934026224553,141,4,0
Ophiovirus ranunculi,solanum lycopersicum,-0.027429934026224553,141,4,0
Ranunculus white mottle virus_hele,solanum lycopersicum,-0.027429934026224553,141,4,0
Capsicum chlorosis virus,solanum lycopersicum,-0.02742993402622455,141,4,0
Cucurbit aphid-borne yellows virus,solanum lycopersicum,-0.02742993402622455,141,4,0
Tomato leaf curl Bangladesh betasatellite,solanum lycopersicum,-0.02742993402622455,141,4,0
Arizlama microvirus,solanum lycopersicum,-0.027429934026224546,141,4,0
Cotoneaster microphyllus picorna-like virus,solanum lycopersicum,-0.027429934026224543,141,4,0
Papaya ringspot virus,solanum lycopersicum,-0.027429934026224543,141,4,0
Plasmopara viticola lesion associated Yue-like virus 2,solanum lycopersicum,-0.027429934026224543,141,4,0
Soybean leaf-associated ourmiavirus 1,solanum lycopersicum,-0.027429934026224543,141,4,0
Soybean chlorotic mottle virus,solanum lycopersicum,-0.02742993402622454,141,4,0
Ornithogalum mosaic virus,solanum lycopersicum,-0.027429934026224536,141,4,0
Phabiovirus phabio,solanum lycopersicum,-0.027429934026224536,141,4,0
Potato mop-top virus,solanum lycopersicum,-0.027429934026224536,141,4,0
Presleyvirus presley,solanum lycopersicum,-0.027429934026224536,141,4,0
Rhizoctonia solani mitovirus 88,solanum lycopersicum,-0.027429934026224536,141,4,0
Siphoviridae sp. ctHip2,solanum lycopersicum,-0.027429934026224536,141,4,0
Siphoviridae sp. ctJ0s2,solanum lycopersicum,-0.027429934026224536,141,4,0
Siphoviridae sp. ctYBm1,solanum lycopersicum,-0.027429934026224536,141,4,0
Tomato apical leaf curl virus,solanum lycopersicum,-0.027429934026224536,141,4,0
flactilig virus 22,solanum lycopersicum,-0.027429934026224536,141,4,0
Alfalfa mosaic virus,solanum lycopersicum,-0.027429934026224533,141,4,0
Phaseolus vulgaris alphaendornavirus 1,solanum lycopersicum,-0.027429934026224533,141,4,0
Cavemovirus venamanihotis,solanum lycopersicum,-0.02742993402622453,141,4,0
Metrivirus ME3,solanum lycopersicum,-0.02742993402622453,141,4,0
Oidiodendron maius splipalmivirus 1,solanum lycopersicum,-0.02742993402622453,141,4,0
Turnip yellows virus,solanum lycopersicum,-0.02742993402622453,141,4,0
Citrus dwarfing viroid,solanum lycopersicum,-0.02742993402622452,141,4,0
Hainan betaflexivirus,solanum lycopersicum,-0.02742993402622452,141,4,0
Erysiphe necator associated narnavirus 33,solanum lycopersicum,-0.027429934026224498,141,4,0
Prokaryotic dsDNA virus sp.,cucumis sativus,-0.027416825794723872,21,30,0
Citrus viroid VI,ipomaea batatas,-0.02736688615996427,33,19,0
Citrus blight-associated pararetrovirus,capsicum,-0.027286557050753314,61,10,0
Beihai horseshoe crab virus 1,capsicum,-0.027286557050753307,61,10,0
Erysiphe necator associated ourmia-like virus 16,capsicum,-0.027286557050753304,61,10,0
Figwort mosaic virus,capsicum,-0.027286557050753293,61,10,0
Sweet potato leaf curl virus,capsicum,-0.02728655705075329,61,10,0
Pichia membranifaciens virus L-A,capsicum,-0.027286557050753276,61,10,0
Petunia vein clearing virus,prunus persica,-0.027206510994884133,12,51,0
Botourmiaviridae sp.,capsicum annuum,-0.0270377916456258,34,18,0
Tobacco vein clearing virus,capsicum annuum,-0.02703779164562579,34,18,0
Cotton leaf curl Gezira betasatellite,capsicum annuum,-0.027037791645625787,34,18,0
Microvirus sp.,capsicum annuum,-0.027037791645625784,34,18,0
Siphoviridae sp.,cucumis sativus,-0.026941223421567212,21,29,0
Bell pepper alphaendornavirus,solanum tuberosum,-0.026941223421567167,29,21,0
Cotton leaf curl Gezira virus,solanum tuberosum,-0.02694122342156716,29,21,0
Dicistroviridae sp.,solanum tuberosum,-0.02694122342156716,29,21,0
Tomato brown rugose fruit virus,phalaenopsis,-0.026934219030072995,19,32,0
Iltovirus gallidalpha1,prunus persica,-0.026637801533139997,12,49,0
Cotton leaf curl Gezira betasatellite,ipomaea batatas,-0.026622537516559547,33,18,0
Tobacco vein clearing virus,ipomaea batatas,-0.026622537516559533,33,18,0
Botourmiaviridae sp.,ipomaea batatas,-0.02662253751655952,33,18,0
Myoviridae sp.,ipomaea batatas,-0.026622537516559505,33,18,0
Partitiviridae sp.,lavatera,-0.0264648337985676,39,15,0
Tomato mosaic virus,lavatera,-0.026464833798567566,39,15,0
Alternanthera mosaic virus,solanum tuberosum,-0.026277664441750746,29,20,0
Leviviridae sp.,solanum tuberosum,-0.026277664441750722,29,20,0
Sweet potato badnavirus B,solanum tuberosum,-0.026277664441750677,29,20,0
Solendovirus venanicotianae,capsicum annuum,-0.02626178793528771,34,17,0
Podoviridae sp.,capsicum annuum,-0.02626178793528765,34,17,0
Prokaryotic dsDNA virus sp.,phalaenopsis,-0.026050302983809767,19,30,0
Petunia vein clearing virus,solanum betaceum,-0.026034242931220655,11,51,0
Petunia vein clearing virus,prunus,-0.026034242931220634,11,51,0
Picornavirales sp.,capsicum,-0.025872409707662632,61,9,0
Banana streak virus,capsicum,-0.025872409707662625,61,9,0
Sweet potato badnavirus A,capsicum,-0.025872409707662625,61,9,0
Diabrotica undecimpunctata virus 1,capsicum,-0.025872409707662622,61,9,0
Little cherry virus 2,capsicum,-0.025872409707662622,61,9,0
Sopafab virus,capsicum,-0.025872409707662598,61,9,0
Erysiphe necator associated ourmia-like virus 21,capsicum,-0.025872409707662594,61,9,0
Aristotelia chilensis virus 1,capsicum,-0.025872409707662577,61,9,0
Solendovirus venanicotianae,ipomaea batatas,-0.025858451892916984,33,17,0
