sample,host,viruses,count_viruses
000000-001-002,allium tuberosum,"['Petuvirus venapetuniae', 'Red clover bacilliform virus']",2
000000-001-004,allium tuberosum,"['Petuvirus venapetuniae', 'Red clover bacilliform virus']",2
000000-002-004,allium tuberosum,['Red clover bacilliform virus'],1
000000-002-005,allium tuberosum,['Red clover bacilliform virus'],1
000000-003-001,allium tuberosum,['Betanucleorhabdovirus cnidii'],1
000000-003-002,allium tuberosum,"['Betanucleorhabdovirus cnidii', 'Dioscorea bacilliform virus']",2
000000-003-004,allium tuberosum,"['Betanucleorhabdovirus cnidii', 'Dioscorea bacilliform virus']",2
000000-003-005,allium tuberosum,['Betanucleorhabdovirus cnidii'],1
000000-005-001,allium tuberosum,['Potyvirus yituberosi'],1
000000-005-002,allium tuberosum,['Potyvirus yituberosi'],1
000000-006-007,allium tuberosum,"['Potyvirus yituberosi', 'Caudoviricetes sp.', 'Red clover bacilliform virus', 'Potato mop-top virus', 'Potato virus S']",5
000000-006-008,allium tuberosum,"['Potyvirus yituberosi', 'Caudoviricetes sp.', 'Red clover bacilliform virus', 'Potato mop-top virus', 'Potato virus S']",5
000000-006-009,allium tuberosum,"['Potyvirus yituberosi', 'Caudoviricetes sp.', 'Red clover bacilliform virus', 'Potato mop-top virus', 'Potato virus S']",5
000000-006-010,allium tuberosum,"['Potyvirus yituberosi', 'Caudoviricetes sp.', 'Red clover bacilliform virus', 'Potato mop-top virus', 'Potato virus S']",5
000000-007-006,allium tuberosum,"['Potyvirus yituberosi', 'Potato virus S']",2
000000-007-008,allium tuberosum,['Potato virus S'],1
000000-007-010,allium tuberosum,['Potyvirus yituberosi'],1
000000-008-006,allium tuberosum,"['Potyvirus yituberosi', 'Solendovirus venanicotianae', 'Potato virus S', 'Red clover bacilliform virus']",4
000000-008-009,allium tuberosum,"['Solendovirus venanicotianae', 'Potato virus S']",2
000000-008-010,allium tuberosum,"['Potyvirus yituberosi', 'Red clover bacilliform virus']",2
000000-009-006,allium tuberosum,"['Potyvirus yituberosi', 'Red clover bacilliform virus', 'Potato virus S', 'Potato virus M', 'Tobacco rattle virus']",5
000000-009-007,allium tuberosum,"['Potato virus M', 'Tobacco rattle virus', 'Potato virus S', 'Red clover bacilliform virus']",4
000000-009-008,allium tuberosum,"['Potato virus M', 'Tobacco rattle virus', 'Potato virus S']",3
000000-009-010,allium tuberosum,"['Potyvirus yituberosi', 'Potato virus M', 'Tobacco rattle virus', 'Potato virus S']",4
000000-010-006,allium tuberosum,"['Potyvirus yituberosi', 'Noxifervirus noxifer', 'Red clover bacilliform virus', 'Leviviridae sp.', 'Siphoviridae sp. ctYBm1', 'Iltovirus gallidalpha1', 'Presleyvirus presley', 'Myoviridae sp. ctCo31', 'Phabiovirus phabio', 'Siphoviridae sp. ctJ0s2', 'Siphoviridae sp. ctHip2', 'Potato virus S', 'Dicistroviridae sp.', 'Potato mop-top virus', 'Rhizoctonia solani mitovirus 88', 'flactilig virus 22', 'Citrus blight-associated pararetrovirus', 'Caudoviricetes sp.', 'Rahariannevirus raharianne']",19
000000-010-007,allium tuberosum,"['Potyvirus yituberosi', 'Noxifervirus noxifer', 'Dicistroviridae sp.', 'Citrus blight-associated pararetrovirus', 'Red clover bacilliform virus', 'Caudoviricetes sp.', 'Potato mop-top virus', 'Leviviridae sp.', 'Siphoviridae sp. ctYBm1', 'Iltovirus gallidalpha1', 'Siphoviridae sp. ctJ0s2', 'Rhizoctonia solani mitovirus 88', 'Siphoviridae sp. ctHip2', 'Myoviridae sp. ctCo31', 'Presleyvirus presley', 'flactilig virus 22', 'Phabiovirus phabio', 'Rahariannevirus raharianne']",18
000000-010-008,allium tuberosum,"['Potyvirus yituberosi', 'Noxifervirus noxifer', 'Dicistroviridae sp.', 'Citrus blight-associated pararetrovirus', 'Red clover bacilliform virus', 'Caudoviricetes sp.', 'Potato mop-top virus', 'Leviviridae sp.', 'Siphoviridae sp. ctYBm1', 'Iltovirus gallidalpha1', 'Siphoviridae sp. ctJ0s2', 'Rhizoctonia solani mitovirus 88', 'Presleyvirus presley', 'Myoviridae sp. ctCo31', 'Siphoviridae sp. ctHip2', 'flactilig virus 22', 'Phabiovirus phabio', 'Rahariannevirus raharianne']",18
000000-010-009,allium tuberosum,"['Potyvirus yituberosi', 'Noxifervirus noxifer', 'Red clover bacilliform virus', 'Leviviridae sp.', 'Siphoviridae sp. ctYBm1', 'Iltovirus gallidalpha1', 'Presleyvirus presley', 'Myoviridae sp. ctCo31', 'Phabiovirus phabio', 'Siphoviridae sp. ctJ0s2', 'Siphoviridae sp. ctHip2', 'Potato virus S', 'Dicistroviridae sp.', 'Potato mop-top virus', 'Rhizoctonia solani mitovirus 88', 'flactilig virus 22', 'Citrus blight-associated pararetrovirus', 'Caudoviricetes sp.', 'Rahariannevirus raharianne']",19
102906-001-001,unknown,"['European mountain ash ringspot-associated emaravirus', 'Bell pepper mottle virus']",2
102906-001-002,unknown,"['European mountain ash ringspot-associated emaravirus', 'Tomato blistering mosaic tymovirus', 'Bell pepper mottle virus']",3
102906-001-003,unknown,"['Cassava vein mosaic virus', 'Bell pepper alphaendornavirus']",2
102906-001-005,unknown,"['Actinidia chlorotic ringspot-associated emaravirus', 'Red clover bacilliform virus']",2
102906-001-006,capsicum,"['Actinidia chlorotic ringspot-associated emaravirus', 'Pepper enamovirus', 'Bell pepper alphaendornavirus', 'Raspberry leaf blotch emaravirus']",4
102906-001-007,capsicum,"['Raspberry leaf blotch emaravirus', 'Red clover bacilliform virus']",2
102906-001-008,unknown,['Tomato blistering mosaic tymovirus'],1
