Name	Taxon	Rank	Contig
Viruses	10239	superkingdom	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Duplodnaviria	2731341	clade	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Heunggongvirae	2731360	kingdom	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Uroviricota	2731618	phylum	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Caudoviricetes	2731619	class	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Caudovirales	28883	order	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Salasmaviridae	2842328	family	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Picovirinae	542836	subfamily	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Salasvirus	186846	genus	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
unclassified Salasvirus	2562647	no rank	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Bacillus phage Whiting18	2803381	species	['104326-096-004_(trimmed_pairs)_contig_42247_(1..122)_consensus_chunk76396']
Riboviria	2559587	clade	['104326-096-004_(trimmed_pairs)_contig_39074_(318..503)_consensus_chunk73163']
Pararnavirae	2732397	kingdom	['104326-096-004_(trimmed_pairs)_contig_39074_(318..503)_consensus_chunk73163']
Artverviricota	2732409	phylum	['104326-096-004_(trimmed_pairs)_contig_39074_(318..503)_consensus_chunk73163']
Revtraviricetes	2732514	class	['104326-096-004_(trimmed_pairs)_contig_39074_(318..503)_consensus_chunk73163']
Ortervirales	2169561	order	['104326-096-004_(trimmed_pairs)_contig_39074_(318..503)_consensus_chunk73163']
Caulimoviridae	186534	family	['104326-096-004_(trimmed_pairs)_contig_39074_(318..503)_consensus_chunk73163']
Caulimovirus	10639	genus	['104326-096-004_(trimmed_pairs)_contig_39074_(318..503)_consensus_chunk73163']
Strawberry vein banding virus	47903	species	['104326-096-004_(trimmed_pairs)_contig_67677_(78..372)_consensus_chunk91083']
