sample,host,viruses with contigs,count_viruses
000000-001-002,allium tuberosum,"[['Petuvirus venapetuniae'], ""'105447-024-001_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_44157_(134..284)_consensus_chunk62102', '105447-024-001_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_8732_(421..600)_consensus_chunk17588'"", ['Red clover bacilliform virus'], ""'105447-024-001_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_5481_(220..413)_consensus_chunk11055'""]"
000000-001-004,allium tuberosum,"[['Petuvirus venapetuniae'], ""'105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_44130_(134..284)_consensus_chunk62001', '105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_8638_(421..600)_consensus_chunk17425'"", ['Red clover bacilliform virus'], ""'105447-024-001_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_23766_(220..413)_consensus_chunk42402'""]"
000000-002-004,allium tuberosum,"[['Red clover bacilliform virus'], ""'105447-024-002_with_105447-024-004.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_58604_(1..170)_consensus_chunk88808'""]"
000000-002-005,allium tuberosum,"[['Red clover bacilliform virus'], ""'105447-024-002_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_58657_(1..170)_consensus_chunk89125'""]"
000000-003-001,allium tuberosum,"[['Betanucleorhabdovirus cnidii'], ""'105447-024-003_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_56827_(100..222)_consensus_chunk88279'""]"
000000-003-002,allium tuberosum,"[['Betanucleorhabdovirus cnidii'], ""'105447-024-003_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_56810_(100..222)_consensus_chunk88246'"", ['Dioscorea bacilliform virus'], ""'105447-024-003_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_91386_(18..231)_consensus_chunk110544'""]"
000000-003-004,allium tuberosum,"[['Dioscorea bacilliform virus'], ""'105447-024-003_with_105447-024-004.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_94670_(18..231)_consensus_chunk111674'"", ['Betanucleorhabdovirus cnidii'], ""'105447-024-003_with_105447-024-004.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_56699_(100..222)_consensus_chunk88235'""]"
000000-003-005,allium tuberosum,"[['Betanucleorhabdovirus cnidii'], ""'105447-024-003_with_105447-024-005.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_56483_(100..222)_consensus_chunk88301'""]"
000000-005-001,allium tuberosum,"[['Potyvirus yituberosi'], ""'105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_1412_(1..338)_consensus_chunk2703', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_376_(1..3970)_consensus_chunk748', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_11_(1..1427)_consensus_chunk14', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_7037_(1..419)_consensus_chunk13280', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_232_(1..413)_consensus_chunk422', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_16_(377..1323)_consensus_chunk21', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_233_(1..3195)_consensus_chunk423', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_16_(1326..4310)_consensus_chunk22', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_17_(1..250)_consensus_chunk23', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_17_(756..1280)_consensus_chunk25', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_16_(32..276)_consensus_chunk20', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_234_(1..2665)_consensus_chunk424', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_12_(1..1427)_consensus_chunk15', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_66_(17..4492)_consensus_chunk123', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_17_(337..619)_consensus_chunk24', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_17_(1297..4174)_consensus_chunk26', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_179_(2..391)_consensus_chunk333', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_28_(999..1291)_consensus_chunk88', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_179_(615..1059)_consensus_chunk339', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_95_(458..826)_consensus_chunk218', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_463_(15..285)_consensus_chunk588', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_146_(172..1129)_consensus_chunk284', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_132_(21..741)_consensus_chunk271', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_178_(461..600)_consensus_chunk337', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_146_(1..153)_consensus_chunk283', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_44_(614..762)_consensus_chunk126', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_77_(73..324)_consensus_chunk191', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_94_(480..696)_consensus_chunk215', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_28_(1..745)_consensus_chunk87', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_146_(2329..2964)_consensus_chunk293', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_43_(645..1132)_consensus_chunk124', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_1854_(341..454)_consensus_chunk1081', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_77_(2768..2880)_consensus_chunk204', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_77_(484..911)_consensus_chunk192', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_748_(1..145)_consensus_chunk772', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_1361_(77..278)_consensus_chunk1008', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_503_(123..285)_consensus_chunk628', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_45_(293..504)_consensus_chunk127', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_30_(26..283)_consensus_chunk90', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_178_(218..385)_consensus_chunk335', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_29_(1..145)_consensus_chunk89', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_1361_(290..596)_consensus_chunk1009', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_146_(1739..2115)_consensus_chunk289', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_45_(664..782)_consensus_chunk130', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_77_(2223..2532)_consensus_chunk201', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_44_(175..423)_consensus_chunk125', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_94_(920..1022)_consensus_chunk217', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_146_(1369..1518)_consensus_chunk287', '105447-024-005_with_105447-024-001.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_77_(1797..1992)_consensus_chunk198'""]"
000000-005-002,allium tuberosum,"[['Potyvirus yituberosi'], ""'105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_6970_(1..419)_consensus_chunk13245', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_1031_(1..440)_consensus_chunk1997', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_372_(1..3970)_consensus_chunk732', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_15_(1293..4170)_consensus_chunk25', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_212_(1..2749)_consensus_chunk398', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_15_(1..250)_consensus_chunk22', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_211_(1..413)_consensus_chunk397', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_213_(1..2665)_consensus_chunk399', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_180_(2..391)_consensus_chunk353', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_15_(751..1275)_consensus_chunk24', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_14_(1326..4310)_consensus_chunk21', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_15_(332..614)_consensus_chunk23', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_10_(1..1427)_consensus_chunk15', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_14_(377..1323)_consensus_chunk20', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_61_(1..4450)_consensus_chunk115', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_14_(32..276)_consensus_chunk19', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs)_contig_11_(1..1427)_consensus_chunk16', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_418_(297..405)_consensus_chunk582', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_418_(459..622)_consensus_chunk584', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_351_(824..1012)_consensus_chunk489', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_138_(1..283)_consensus_chunk239', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_351_(508..785)_consensus_chunk487', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_433_(24..230)_consensus_chunk610', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_141_(1..282)_consensus_chunk244', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_1086_(84..289)_consensus_chunk968', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_246_(128..284)_consensus_chunk356', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_409_(9..516)_consensus_chunk555', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_246_(298..1292)_consensus_chunk357', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_245_(243..395)_consensus_chunk351', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_418_(35..194)_consensus_chunk579', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_255_(214..473)_consensus_chunk363', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_350_(359..878)_consensus_chunk483', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_414_(144..678)_consensus_chunk577', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_135_(531..703)_consensus_chunk237', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_67_(1..1177)_consensus_chunk149', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_142_(71..189)_consensus_chunk245', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_111_(12..271)_consensus_chunk201', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_246_(1322..1472)_consensus_chunk358', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_418_(1477..2149)_consensus_chunk588', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_419_(49..250)_consensus_chunk589', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_409_(599..714)_consensus_chunk558', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_418_(1069..1190)_consensus_chunk587', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_352_(504..1135)_consensus_chunk490', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_245_(744..989)_consensus_chunk353', '105447-024-005_with_105447-024-002.fastq_splitted_r1_(paired,_trimmed_pairs,_sampled)_contig_971_(46..354)_consensus_chunk914'""]"
